,symbol,company,sector,2016Q2_weight,2016Q2_vol_shares,2016Q2_vol_$,2016Q2_price_change,2016Q3_weight,2016Q3_vol_shares,2016Q3_vol_shares_change,2016Q3_vol_$,2016Q3_vol_$_change,2016Q3_price_change,2016Q4_weight,2016Q4_vol_shares,2016Q4_vol_shares_change,2016Q4_vol_$,2016Q4_vol_$_change,2016Q4_price_change,2017Q1_weight,2017Q1_vol_shares,2017Q1_vol_shares_change,2017Q1_vol_$,2017Q1_vol_$_change,2017Q1_price_change,2017Q2_weight,2017Q2_vol_shares,2017Q2_vol_shares_change,2017Q2_vol_$,2017Q2_vol_$_change,2017Q2_price_change,2017Q3_weight,2017Q3_vol_shares,2017Q3_vol_shares_change,2017Q3_vol_$,2017Q3_vol_$_change,2017Q3_price_change,2017Q4_weight,2017Q4_vol_shares,2017Q4_vol_shares_change,2017Q4_vol_$,2017Q4_vol_$_change,2017Q4_price_change,2018Q1_weight,2018Q1_vol_shares,2018Q1_vol_shares_change,2018Q1_vol_$,2018Q1_vol_$_change,2018Q1_price_change,2018Q2_weight,2018Q2_vol_shares,2018Q2_vol_shares_change,2018Q2_vol_$,2018Q2_vol_$_change,2018Q2_price_change,2018Q3_weight,2018Q3_vol_shares,2018Q3_vol_shares_change,2018Q3_vol_$,2018Q3_vol_$_change,2018Q3_price_change,2018Q4_weight,2018Q4_vol_shares,2018Q4_vol_shares_change,2018Q4_vol_$,2018Q4_vol_$_change,2018Q4_price_change,2019Q1_weight,2019Q1_vol_shares,2019Q1_vol_shares_change,2019Q1_vol_$,2019Q1_vol_$_change,2019Q1_price_change,2019Q2_weight,2019Q2_vol_shares,2019Q2_vol_shares_change,2019Q2_vol_$,2019Q2_vol_$_change,2019Q2_price_change,2019Q3_weight,2019Q3_vol_shares,2019Q3_vol_shares_change,2019Q3_vol_$,2019Q3_vol_$_change,2019Q3_price_change,2019Q4_weight,2019Q4_vol_shares,2019Q4_vol_shares_change,2019Q4_vol_$,2019Q4_vol_$_change,2019Q4_price_change,2020Q1_weight,2020Q1_vol_shares,2020Q1_vol_shares_change,2020Q1_vol_$,2020Q1_vol_$_change,2020Q1_price_change,2020Q2_weight,2020Q2_vol_shares,2020Q2_vol_shares_change,2020Q2_vol_$,2020Q2_vol_$_change,2020Q2_price_change,2020Q3_weight,2020Q3_vol_shares,2020Q3_vol_shares_change,2020Q3_vol_$,2020Q3_vol_$_change,2020Q3_price_change,2020Q4_weight,2020Q4_vol_shares,2020Q4_vol_shares_change,2020Q4_vol_$,2020Q4_vol_$_change,2020Q4_price_change
0,A,Agilent Technologies,Health Care,0.0008691733392478404,140281524,6084121381.6889,12.133,0.0008297410473192606,118778364,-15.329,5537144436.84,-8.99,6.154,0.0007602477293261918,124604432,4.905,5648248269.190499,2.007,-2.691,0.0008622434439309311,125185248,0.466,6298398775.248,11.511,15.11,0.0009486681721771631,126098193,0.729,7230138034.67,14.793,11.906,0.0008758628376003578,103876280,-17.623,6451633905.6744995,-10.767,7.845,0.000924689021293787,109495985,5.41,7405929445.460001,14.792,3.942,0.0009937245459587794,150082516,37.067,10502307746.5275,41.809,-0.771,0.0012774461655021185,193206166,28.733,12534964595.8275,19.354,-7.217,0.0009240421946589111,130151003,-32.636,8622158366.35865,-31.215,14.961,0.001046854141022707,177977357,36.747,11972363083.04,38.856,-4.556,0.0008731286630792126,112943005,-36.541,8486267682.572501,-29.118,21.237,0.0012358061926225656,160073120,41.729,11595738909.185001,36.641,-7.769,0.0013389334873808558,169173268,5.685,12195917784.74,5.176,1.362,0.0008765835982401629,102499266,-39.412,8061574894.200001,-33.899,11.516,0.000829918951369117,153427362,49.686,11984437872.659996,48.661,-16.624,0.0007451059378487458,129359054,-15.687,10566513483.09,-11.831,27.206,0.0005698998384368381,86995008,-32.749,8392699543.68,-20.573,13.556,0.0007796601316678843,98796117,13.565,11067797344.285,31.874,16.429
1,AAL,American Airlines Group,Industrials,0.0032464653261023964,685350162,22724913677.7987,-29.454,0.0030950918498485066,591804177,-13.649,20654601424.465,-9.11,29.364,0.002587144489006489,447595078,-24.368,19221148342.170002,-6.94,28.058,0.0026900274320107655,435598038,-2.68,19649746950.720005,2.23,-10.533,0.0024321679093181584,400506968,-8.056,18536417921.040005,-5.666,18.876,0.0023847950996697914,365944656,-8.63,17566477606.55,-5.233,-6.479,0.0016943910644547377,271766420,-25.736,13570552247.730001,-22.747,9.491,0.0015026578401703876,296683033,9.168,15881035785.400002,17.026,-1.066,0.0017762135221522097,396553198,33.662,17429128691.35,9.748,-26.676,0.001687577452028172,403916510,1.857,15746640284.380003,-9.653,9.512,0.0018823603578877997,622489033,54.113,21527642461.955,36.713,-22.458,0.0017026928070549533,494073662,-20.629,16549115328.433798,-23.126,0.954,0.0013229266660032687,386818358,-21.708,12413202253.355,-24.992,1.939,0.0014022351811123447,440078550,13.769,12772512708.73,2.895,-18.618,0.0013748889258065132,443242517,0.719,12644281810.482502,-1.004,5.908,0.0022005061669785873,1794229809,304.796,31776391421.179703,151.31,-57.937,0.005841329587649202,6230346530,247.244,82837197654.43248,160.688,14.148,0.00371572767127757,4328975780,-30.518,54720117164.284195,-33.943,-8.828,0.0049136713486109505,4911375699,13.454,69752853190.6664,27.472,26.667
2,AAP,Advance Auto Parts,Consumer Discretionary,0.0014795130650921175,67952248,10356434864.425,0.956,0.0015747001067293234,65941792,-2.959,10508509810.185,1.468,-8.041,0.0013856835139973054,65990629,0.074,10294913365.3025,-2.033,13.863,0.0014859314685317785,67609344,2.453,10854230330.6312,5.433,-13.187,0.001629035834818094,91779798,35.75,12415462323.48895,14.384,-21.435,0.0018830132623659582,140488979,53.072,13870336412.033203,11.718,-15.539,0.0013365428327073733,117024993,-16.702,10704508966.719105,-22.824,0.292,0.0008967533711329168,83279733,-28.836,9477455210.978102,-11.463,17.493,0.0008951460359024608,72540819,-12.895,8783637362.692501,-7.321,14.409,0.0009743740564038527,58508287,-19.344,9091800646.0586,3.508,24.689,0.0010675340050452862,72942611,24.671,12208868658.0615,34.284,-6.944,0.0013035777782967116,78365094,7.434,12669965423.727503,3.777,8.729,0.0011915865643617274,69119246,-11.798,11180820075.605,-11.753,-11.383,0.0012222231994692204,75195381,8.791,11132841022.960001,-0.429,6.223,0.0010652774052875473,61369111,-18.387,9796913384.035,-12.0,-3.279,0.0006585361820125455,74390406,21.218,9509586384.56,-2.933,-41.846,0.0005792542835615622,65146330,-12.426,8214534184.31,-13.618,58.931,0.0005339384350647429,51995467,-20.187,7863109546.780001,-4.278,7.825,0.0006255288513854576,57630158,10.837,8879800670.744999,12.93,2.572
3,AAPL,Apple,Information Technology,0.03597304061080256,10216634504,251807476899.7705,-12.116,0.036441381030799073,9144019672,-10.499,243185739571.85,-3.424,18.389,0.030717543957661814,8068963344,-11.757,228215498448.67,-6.156,2.723,0.030447616053028415,6801563684,-15.707,222409609498.84253,-2.544,24.059,0.03327355611405204,6846020108,0.654,253589622445.98996,14.019,0.244,0.03730741705243878,7054091344,3.039,274807637058.895,8.367,6.341,0.0342855711245353,6544554188,-7.223,274596664282.16,-0.077,9.747,0.03716839637137604,9205205440,40.654,392819055063.675,43.053,-1.399,0.033220441210428636,7259842872,-21.133,325976206024.16,-17.016,10.257,0.04011952178088961,7092539032,-2.305,374351812478.7501,14.84,22.899,0.044265066178227334,10599948088,49.452,506238093171.985,35.231,-30.801,0.03374479410065151,7806451716,-26.354,327978415714.2509,-35.213,22.707,0.03647785643074742,7043172612,-9.778,342276727259.344,4.36,3.298,0.03920511921944923,6819525420,-3.175,357106917742.9025,4.333,10.238,0.0466719559923913,6681781272,-2.02,429222574374.91504,20.194,30.471,0.05997473002980968,12242271284,83.219,866064601592.8015,101.775,-14.161,0.05077693871110794,9316366880,-23.9,720079092471.1051,-16.856,47.992,0.0828331877573595,10977591583,17.831,1219853051721.4722,69.405,26.873,0.06216927782351736,7341985215,-33.118,882534504514.52,-27.652,12.793
4,ABBV,AbbVie,Health Care,0.004861731690046522,558100261,34031607266.09925,9.42,0.004281593933622579,441785352,-20.841,28572533692.2425,-16.041,1.759,0.003908254442035447,478882554,8.397,29036313475.540005,1.623,-0.666,0.0036556633658558933,426288964,-10.983,26703393140.638496,-8.034,3.56,0.003173944816276671,359626703,-15.638,24189763933.410545,-9.413,11.212,0.004170622555010598,391521427,8.869,30720940230.089504,27.0,22.128,0.0038290515056495795,326298500,-16.659,30667267201.0275,-0.175,7.767,0.0046727676879290995,451231317,38.288,49384756053.61251,61.034,-2.573,0.005471010298047551,544746969,20.725,53684391750.8475,8.706,-1.541,0.003591874588021713,355716169,-34.701,33515473329.0661,-37.569,2.804,0.0032549647251715105,426488793,19.896,37225452892.768906,11.069,-2.65,0.0035203365381682454,417833224,-2.029,34215482160.7615,-8.086,-11.673,0.003907766160028026,486513894,16.437,36667105554.53,7.165,-10.2,0.004551951879517791,603186684,23.981,41462276809.05,13.078,3.02,0.004237987726128566,470225431,-22.043,38975011081.06,-5.999,16.669,0.004399056530016429,764145562,62.506,63524540071.4475,62.988,-14.47,0.004116105142468313,665368218,-12.927,58371405026.35,-8.112,36.134,0.0028331579807071047,444019561,-33.267,41722846872.66,-28.522,-11.076,0.0034816407067063153,516898371,16.413,49424219864.885,18.458,21.527
5,ABC,AmerisourceBergen,Health Care,0.0019887601629085968,174696797,13921110650.579998,-8.417,0.0016900664249435405,131985107,-24.449,11278388520.13,-18.984,1.879,0.001772804753560703,171441522,29.895,13171024384.100002,16.781,-3.086,0.0015383400743353467,128668246,-24.949,11237057594.705002,-14.683,12.724,0.0011044668909969742,95512336,-25.769,8417535562.835001,-25.091,6.922,0.0010963534996802317,96352315,0.879,8075775232.707499,-4.06,-12.757,0.001305209771733205,127849934,32.69,10453559259.800003,29.443,10.507,0.001145558305555014,125956376,-1.481,12106982679.915,15.817,-6.446,0.0008559426775924716,95834912,-23.914,8398953669.7714,-30.627,-0.883,0.0007254700479049721,78932419,-17.637,6769298717.355,-19.403,8.75,0.000670133962788023,89120901,12.908,7663997115.14405,13.217,-19.659,0.0007297012575277059,88558124,-0.631,7092242485.605,-7.46,7.838,0.000785108752220328,93362646,5.425,7366783044.47,3.871,6.522,0.0007750416672227756,81887401,-12.291,7059607174.13,-4.17,-4.022,0.0006626313995004743,71050597,-13.234,6093945477.7,-13.679,3.08,0.0007122229750703937,118520268,66.811,10284850083.41,68.772,3.34,0.0005712928196153225,88091362,-25.674,8101630888.470001,-21.228,14.239,0.0003891212574184031,57656267,-34.549,5730441701.0,-29.268,-3.992,0.00043692747126866877,61790106,7.17,6202477861.485,8.237,0.452
6,ABMD,Abiomed,Health Care,0.0005421428213634698,38148201,3794942369.3104005,16.588,0.0005109317156626919,28652302,-24.892,3409621250.06,-10.154,17.596,0.0005252456646191559,34611903,20.8,3902304211.700001,14.45,-11.927,0.00038190272839043026,24487808,-29.25,2789671169.6549997,-28.512,11.23,0.0003414201994839187,19343085,-21.009,2602084946.5499997,-6.724,14.429,0.0003903356536489826,19016754,-1.687,2875225011.915,10.497,16.42,0.000479863534021848,20600622,8.329,3843276382.1966004,33.669,10.939,0.0006234129668785775,25778353,25.134,6588621422.265001,71.432,54.675,0.002021339893857695,52883159,105.146,19834435837.6,201.041,40.36,0.001704619838476326,40177912,-24.025,15905661328.815,-19.808,10.504,0.0013101769295465776,43054101,7.159,14983858102.935,-5.795,-28.231,0.0010992116304794157,32580049,-24.328,10683653544.425001,-28.699,-9.606,0.0013653153291450562,48484309,48.816,12810940890.235,19.912,-10.182,0.0008652246526114625,37329233,-23.008,7881055204.035,-38.482,-32.384,0.0009793325535480681,48840258,30.836,9006514316.04,14.281,-4.104,0.000657044909510605,57216041,17.149,9488051676.115002,5.347,-15.854,0.00048115117540588706,34447479,-39.794,6823312127.950001,-28.085,71.38,0.000410354741955959,21090872,-38.774,6043139203.21,-11.434,14.035,0.00035865249515842717,18449622,-12.523,5091312191.3056,-15.751,16.981
7,ABT,Abbott,Health Care,0.0036882211279491823,657244487,25817157535.4244,-4.956,0.0039016980959076203,608044446,-7.486,26037359457.8495,0.853,7.608,0.0029215252034060727,546648570,-10.097,21705424478.097507,-16.637,-8.678,0.003077717797578213,525641202,-3.843,22481694866.187206,3.576,14.952,0.0025516996718452744,428877283,-18.409,19447412057.815,-13.497,9.433,0.002339247317470813,341372160,-20.403,17230971174.095,-11.397,9.479,0.002519123315395397,364309309,6.719,20175917642.1585,17.091,6.394,0.002511186593365949,439658276,20.683,26539803731.060493,31.542,2.955,0.00223358557837571,362360686,-17.581,21917100620.585,-17.418,1.735,0.0022163218327289043,313432157,-13.503,20680308694.843403,-5.643,20.877,0.0028264161560639855,460566022,46.943,32324350755.407,56.305,-2.005,0.0029315321254930055,385516745,-16.295,28492669395.6643,-11.854,13.567,0.002851913170418732,339806818,-11.857,26759892217.129997,-6.081,4.252,0.002689483705183835,287773368,-15.313,24497648659.145,-8.454,-1.263,0.0026868799260319595,295509307,2.688,24710117550.585,0.867,3.368,0.002987277558707539,533151258,80.418,43137757309.5075,74.575,-8.308,0.003318757823472858,520804516,-2.316,47064044865.99999,9.102,18.74,0.0023622767990269435,337482921,-35.2,34788357665.8297,-26.083,18.319,0.002334176436644966,304697149,-9.715,33135196628.979996,-4.752,0.284
8,ACN,Accenture,Information Technology,0.0022796660179713684,138271433,15957420846.6308,-1.281,0.0024770112096589056,144813741,4.731,16529938929.58,3.588,7.629,0.0024677000863430696,154385242,6.61,18333738074.984993,10.912,-3.668,0.002560411092476819,156717406,1.511,18702943121.802597,2.014,2.13,0.0022262005700258805,139265575,-11.136,16966667467.3073,-9.283,4.814,0.002119425214275905,119121945,-14.464,15611754473.36765,-7.986,9.068,0.002108644218156317,116326813,-2.346,16888348348.06725,8.177,13.274,0.002271190391822029,152375077,30.989,24003372506.872498,42.13,0.0,0.0021907525124427226,137560602,-9.722,21496800353.145,-10.443,7.753,0.0021620397897398457,121003253,-12.036,20173807613.1759,-6.154,5.179,0.0022002910735264124,159848275,32.102,25163661859.23,24.734,-17.596,0.0019881079518508727,122960042,-23.077,19323173061.06675,-23.21,26.697,0.0021927378166350714,114686361,-6.729,20574759513.09,6.477,5.282,0.0025346327010137668,119521572,4.216,23087160286.465,12.211,4.069,0.0024133959742788807,113853228,-4.743,22194999353.25,-3.864,9.33,0.0024478833514327493,193878727,70.288,35348639642.90501,59.264,-22.574,0.002086135844464011,157175485,-18.931,29583957674.165,-16.308,35.41,0.0018120642405053677,116835660,-25.665,26685585253.230003,-9.797,5.357,0.0020128013559953984,118673495,1.573,28573062283.949997,7.073,14.888
9,ADBE,Adobe,Information Technology,0.0022528496986660746,164534142,15769709449.724949,2.669,0.0021476894751934605,141946337,-13.728,14332262900.6343,-9.115,14.253,0.002191367392866667,154191620,8.627,16280728776.249998,13.595,-5.036,0.002406221670417362,149233605,-3.215,17576641177.854996,7.96,25.815,0.0029498179173476653,163336503,9.45,22481613007.655,27.906,8.767,0.00253465059750123,125110094,-23.403,18670318035.96,-16.953,5.256,0.003900584800469882,182493523,45.866,31240184714.094994,67.325,17.163,0.0036463777479553553,187398157,2.688,38537219820.98,23.358,22.877,0.004477886280615624,184502043,-1.545,43939343596.21,14.018,13.5,0.004685355525100545,169209494,-8.289,43718650050.415,-0.502,11.989,0.005989043111813472,284619870,68.206,68493781363.43001,56.669,-16.75,0.004941888836198965,190980457,-32.9,48032086558.24,-29.874,21.181,0.004890079105673146,164185938,-14.03,45884282578.575005,-4.472,9.174,0.005092053808202819,160175579,-2.443,46381892891.33,1.084,-7.778,0.005006100633002655,157485882,-1.679,46039026125.83,-0.739,18.216,0.00524254725884545,227761730,44.624,75704961086.2221,64.436,-3.564,0.005188288476511522,199257772,-12.515,73576276011.83899,-2.812,41.795,0.006202007706015304,193977423,-2.65,91334623619.02979,24.136,12.794,0.005321403738498083,156619003,-19.259,75540887333.59225,-17.292,0.542
